risorsa,url,title,editor,author,contributor,shelfmark,page,place of publishing,year of publishing,issuance,identifier,licence,geographic place,city,latitude,longitude,href
24410244438,https://farm5.staticflickr.com/4518/24410244438_392092b6cf_o.jpg,Palermo - Porto,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,46,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (46),CC BY SA 4.0,"Porto, barche, molo, banchina, navi, Palermo",Palermo,38.125619,13.365833,https://www.flickr.com/photos/biblioteca-comunale-palermo/24410244438
24513540388,https://farm5.staticflickr.com/4546/24513540388_2975575193_o.jpg,Palermo - Barca da pesca,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,58,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (58),CC BY SA 4.0,"Porto, barche, molo, banchina, navi, Monte Pellegrino, Palermo",Palermo,38.132058,13.373322,https://www.flickr.com/photos/biblioteca-comunale-palermo/24513540388
24513735118,https://farm5.staticflickr.com/4571/24513735118_76e9af4e29_o.jpg,Palermo - Molo Puntone,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,60,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (60),CC BY SA 4.0,"Porto, barche, navi, lanterna, Palermo",Palermo,38.132058,13.373322,https://www.flickr.com/photos/biblioteca-comunale-palermo/24513735118
24514126988,https://farm5.staticflickr.com/4519/24514126988_808100182a_o.jpg,Palermo - Porta Nuova,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,109,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (109),CC BY SA 4.0,"porta Nuova, Palermo",Palermo,38.112213,13.352615,https://www.flickr.com/photos/biblioteca-comunale-palermo/24514126988
24537517068,https://farm5.staticflickr.com/4557/24537517068_55d721f21d_o.jpg,Palermo - Porta Felice Marina,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,121,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (121),CC BY SA 4.0,"porta Felice, foro Italico, foro Umberto I, Palermo",Palermo,38.119753,13.371337,https://www.flickr.com/photos/biblioteca-comunale-palermo/24537517068
24538921528,https://farm5.staticflickr.com/4559/24538921528_3119202f4b_o.jpg,Palermo - Molo,"Dr. Trenkler Co., Lipsia","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,73,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (73),CC BY SA 4.0,"Porto, barche, navi, molo, banchina, faro, Lanterna, Palermo",Palermo,38.135400,13.369116,https://www.flickr.com/photos/biblioteca-comunale-palermo/24538921528
24539149868,https://farm5.staticflickr.com/4584/24539149868_c9084da577_o.jpg,"Palermo - Porta di Termini, oggi Garibaldi","Dr. Trenkler Co., Lipsia","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,128,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (128),CC BY SA 4.0,"porta di termini, porta Garibaldi, Palermo",Palermo,38.111624,13.368258,https://www.flickr.com/photos/biblioteca-comunale-palermo/24539149868
24539173958,https://farm5.staticflickr.com/4542/24539173958_26f6a720f1_o.jpg,Palermo - Porto con partenza Piroscafo per Napoli,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,75,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (75),CC BY SA 4.0,"Porto, barche, navi, molo, banchina, Piroscafo, Palermo",Palermo,38.130176,13.363623,https://www.flickr.com/photos/biblioteca-comunale-palermo/24539173958
24539366888,https://farm5.staticflickr.com/4515/24539366888_66cd22e371_o.jpg,Palermo - Barca a Vela,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,78,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (78),CC BY SA 4.0,"Porto, barche a vela, pescatori, navi, molo, banchina, lanterna, faro, Palermo",Palermo,38.132328,13.362936,https://www.flickr.com/photos/biblioteca-comunale-palermo/24539366888
24539371248,https://farm5.staticflickr.com/4568/24539371248_fb589e5a70_o.jpg,Palermo - Porta S.^Antonino,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,130,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (130),CC BY SA 4.0,"porta Sant'Antonino, chiesa di Sant'Antonino, Palermo",Palermo,38.110266,13.364996,https://www.flickr.com/photos/biblioteca-comunale-palermo/24539371248
