title,editor,author,contributor,shelfmark,page,place of publishing,year of publishing,issuance,identifier,licence,geographic place,city,risorsa
Le grand escalier du Cercle, ,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,348,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (348),CC BY SA 4.0,"Villa Igiea, Palermo",Palermo,30393165357
Five o' clock, ,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,346,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (346),CC BY SA 4.0,"Villa Igiea, Palermo",Palermo,30393165547
Palermo – Villa Igiea,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,313,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (313),CC BY SA 4.0,"Villa Igiea, Palermo",Palermo,31458761988
Palermo - Villa Giulia,"Dr. Trenkler, Lipsia ","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,10,pp. 472. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VIII (11),CC BY SA 4.0,"Villa Giulia, Palermo",Palermo,32365480857
Palermo - Villa Giulia,,,Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,01,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VIII (01),CC BY SA 4.0,"Palermo, Villa Giulia",Palermo,33195306728
Palermo - Villa Giulia Piazza del Centro,,,Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,03,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VIII (03),CC BY SA 4.0,"Palermo, Villa Giulia",Palermo,33195418708
08 Palermo Villa Giulia,,,Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,08,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VIII (08),CC BY SA 4.0,"Palermo, Villa Giulia",Palermo,33195570758
"Cala e Monte Pellegrino""",,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,3,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (3),CC BY SA 4.0,"Cala, Chiesa S. Maria della Catena, Castello a Mare, Palermo",Palermo,37233782634
Palermo - La Cala,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,7,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (7),CC BY SA 4.0,"La Cala, Palermo",Palermo,37327064554
Palermo – Cala,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,16,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (16),CC BY SA 4.0,"La Cala, porto, Castello a Mare, porta Carbone, Palermo",Palermo,37349785504
Palermo – Cala,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,18,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (18),CC BY SA 4.0,"La Cala, porto, Monte Pellegrino, Palermo",Palermo,37349974174
Palermo – La Cala,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,20,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (20),CC BY SA 4.0,"La Cala, porto, Monte Pellegrino, Palermo",Palermo,37350169294
Palermo - Castello,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,26,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (26),CC BY SA 4.0,"Porto, Castello a Mare, un Morituro, Palermo",Palermo,37352462054
"Palermo - Porto, Antemurale e Monte Pellegrino",,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,28,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (28),CC BY SA 4.0,"Porto, Monte Pellegrino, Antemurale, stazione marittima, molo, Palermo",Palermo,37398006534
Palermo - Stazione di caricamento nel porto,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,30,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (30),CC BY SA 4.0,"Porto, Monte Pellegrino, carretti siciliani, stazione di caricamento, molo, banchina, Palermo",Palermo,37398117164
Palermo - Via Borgo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,31,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (31),CC BY SA 4.0,"Porto, Monte Pellegrino, via Borgo, molo, carretti siciliani, banchina, Palermo",Palermo,37398224024
Palermo - via Lolli,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,248,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (248),CC BY SA 4.0,"Palermo, via Lolli, via Dante",Palermo,37566824875
Palermo - corso Vittorio Emanuele,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,249,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (249),CC BY SA 4.0,"Palermo, corso Vittorio Emanuele, piazza Bologni",Palermo,37566908965
Palermo - corso Vittorio Emanuele e palazzo Riso,"ediz. G. Pedone Lauriel, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,251,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (251),CC BY SA 4.0,"Palermo, corso Vittorio Emanuele",Palermo,37569810265
Palermo - barca a vela,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,47,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (47),CC BY SA 4.0,"Porto, barche, molo, banchina, navi, Palermo",Palermo,37570438034
Palermo - Barche a vela,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,50,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (50),CC BY SA 4.0,"Porto, barche, molo, banchina, navi, Monte Pellegrino, Palermo",Palermo,37570874694
Palermo - Barche da Pesca,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,53,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (53),CC BY SA 4.0,"Porto, barche, molo, pescatori, banchina, navi, Monte Pellegrino, Palermo",Palermo,37571331374
Palermo - Banchina d'approdo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,54,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (54),CC BY SA 4.0,"Porto, barche, molo, pescatori, banchina, navi, Monte Pellegrino, Palermo",Palermo,37571411254
Piazza Vigliena,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,162,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (162),CC BY SA 4.0," Piazza Vigliena, Quattro Canti, Quattro Cantoni Palermo",Palermo,37648767075
Piazza Pretoria,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,169,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (169),CC BY SA 4.0,"Piazza Pretoria, Piazza della Vergona, Palermo",Palermo,37649951735
Palermo - Porta Nuova – Costruita nel 1668,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,101,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (101),CC BY SA 4.0,"porta Nuova, Palermo",Palermo,37669807164
Palermo - Porta Nuova – Interno,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,102,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (102),CC BY SA 4.0,"porta Nuova, Palermo",Palermo,37669853424
Palermo - Palermo - Banchina S. Lucia -  Approdo del postale per Napoli,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,66,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (66),CC BY SA 4.0,"Porto, barche, navi, molo, banchina, Palermo",Palermo,37670335134
Palermo - Partenza per l'America,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,68,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (68),CC BY SA 4.0,"Porto, barche, navi, molo, banchina, Lanterna, faro, Palermo",Palermo,37670511904
Palermo - Al Porto,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,70,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (70),CC BY SA 4.0,"Porto, barche, navi, molo, Palermo",Palermo,37670729134
Palermo - Piazza Garraffo,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,186,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (186),CC BY SA 4.0,"Piazza Garraffo, Palermo",Palermo,37688576895
Palermo Nuova - Caserma Legionale Carabinieri - Corso Alberto Amedeo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,257,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (257),CC BY SA 4.0,"Palermo, corso Alberto Amedeo, Legione dei Carabinieri",Palermo,37689403045
Palermo - Unione Militare - La sede della filiale di Palermo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,258,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (258),CC BY SA 4.0,"Palermo, corso Vittorio Emanuele, ",Palermo,37689992055
Palermo - C.V.E. - Distretto Militare,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,260,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (260),CC BY SA 4.0,"Palermo, corso Vittorio Emanuele, ",Palermo,37690235345
Porta Felice,"Dr. Trenkler Co., Lipsia","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,129,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (129),CC BY SA 4.0,"Porta Felice, corso Vittorio Emanuele, Palermo",Palermo,37696126154
Palermo - Nel Porto,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,79,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (79),CC BY SA 4.0,"Porto, barche, navi, piroscafo, molo, banchina, Palermo",Palermo,37696321824
Palermo - La Cala (dettaglio) di Porta di Piedigrotta,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,133,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (133),CC BY SA 4.0,"La Cala, porta di Piedigrotta, Palermo",Palermo,37697067894
Piazza S.Domenico,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,189,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (189),CC BY SA 4.0,"Piazza S.Domenico, Palermo",Palermo,37706838505
Palermo - Discesa Maccarronai e Piazza Caracciolo,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,191,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (191),CC BY SA 4.0,"Piazza Caracciolo, Discesa Maccarronai, Palermo",Palermo,37707000355
Palermo - Banchina S. Lucia - Approdo del postale per Napoli,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,93,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (93),CC BY SA 4.0,"Porto, nave, molo, banchina, Monte Pellegrino, Postale, Palermo",Palermo,37718477414
Palermo - Piazza G. Verdi e Via Macqueda,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,240,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (240),CC BY SA 4.0,"Palermo, piazza Verdi, via Macqueda, via Maqueda, chiosco, chiosco Ribaudo",Palermo,37719048004
Palermo - via G. Notarbartolo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,277,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (277),CC BY SA 4.0,"Palermo, via Notarbartolo",Palermo,37786711805
Palermo - Piazza S. Spirito,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,199,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (199),CC BY SA 4.0,"Piazza S. Spirito, Porta Felice, Palermo",Palermo,37787682625
Palermo - Piazza Gius. Verdi,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,209,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (209),CC BY SA 4.0,"Piazza Verdi, Palermo",Palermo,37788707035
Vista dalle Finanze,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,215,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (215),CC BY SA 4.0,"Piazza Marina, Palermo",Palermo,37808226635
Palermo - Via Dante e Piazza Stazione dei Lolli,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,218,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (218),CC BY SA 4.0,"Via Dante,Piazza Stazione dei Lolli, Palermo",Palermo,37808442065
Palermo - via Roma,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,283,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (283),CC BY SA 4.0,"Palermo, via Roma",Palermo,37809084655
Piazza del Campo,"Eduardo Messina e C., Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,233,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (233),CC BY SA 4.0,"Piazza del Campo, Palermo",Palermo,37829671515
Palermo – Quartiere Romagnolo Fuori Porta dei Greci,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,319,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (319),CC BY SA 4.0,"Porticciolo di S. Erasmo, Palermo",Palermo,37830395915
Palermo – Quartiere Romagnolo fuori Porta dei Greci,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,320,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (320),CC BY SA 4.0,"Porticciolo di S. Erasmo, Palermo",Palermo,37830600235
Palermo – Posillipo Sant'Erasmo, ,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,322,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (322),CC BY SA 4.0,"Porticciolo di S. Erasmo, Palermo",Palermo,37830787695
Ponte dell'Ammiraglio,"S. Valdes, Palermo ","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,313,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (313),CC BY SA 4.0,"Ponte dell'Ammiraglio, Palermo",Palermo,37830902935
Palermo - via Borgo e Montepellegrino,ed. Vierbercher S. Margherita - Ligure,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,298,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (298),CC BY SA 4.0,"Palermo, via Borgo, Monte Pellegrino",Palermo,37831492195
Palermo - via Macqueda,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,255,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (255),CC BY SA 4.0,"Palermo, corso Vittorio Emanuele, piazza Vittoria",Palermo,37860625404
Palermo - Orti del Papireto allagati - 4 aprile 1907,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,256,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (256),CC BY SA 4.0,"Palermo, corso Alberto Amedeo, Papireto",Palermo,37860738714
Palermo - Piazza della Rivoluzione,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,194,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (194),CC BY SA 4.0,"Piazza della Rivoluzione, Palermo",Palermo,37878072914
Piazza Marina,"Dr. Trenkler Co, Lipsia","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,197,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (197),CC BY SA 4.0,"Piazza Marina, Palermo",Palermo,37878244704
Palermo - via della Libertà,"Dr. Trenkler Co., Lipsia","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,263,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (263),CC BY SA 4.0,"Palermo, via della Libertà, via Libertà,",Palermo,37878589674
Monte Pellegrino e la Cala,"Dr. Trenkler Co, Lipsia","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,1,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (1),CC BY SA 4.0,"Cala, Chiesa S. Maria della Catena, Castello a Mare, Palermo",Palermo,37889303806
Palermo – S. Erasmo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,327,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (327),CC BY SA 4.0,"Porticciolo di Sant'Erasmo, Palermo",Palermo,37938297325
Palermo – Piccolo porto Sant'Erasmo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,330,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (330),CC BY SA 4.0,"Porticciolo di Sant'Erasmo, Palermo",Palermo,37938454915
Palermo - Sant'Erasmo - Arrivo del tonno  - III.,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,331,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (331),CC BY SA 4.0,"Porticciolo di Sant'Erasmo, Palermo",Palermo,37938527245
Palermo - Piazza Marina e Giardino Garibaldi,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,200,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (200),CC BY SA 4.0,"Piazza Marina, Giardino Garibaldi, Palermo",Palermo,37957515984
Palermo - Piazza Marina,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,206,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (206),CC BY SA 4.0,"Piazza Marina, Giardino Garibaldi, Palermo",Palermo,37957973514
Palermo - Piazza Marina,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,208,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (208),CC BY SA 4.0,"Piazza Marina, Giardino Garibaldi, Palermo",Palermo,37958432084
Palermo - Piazza S. Spirito,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,210,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (210),CC BY SA 4.0,"Piazza S. Spirito, Palermo",Palermo,37958488444
Palermo - Piazza Ruggiero VII e Via Lolli,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,219,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (219),CC BY SA 4.0,"Piazza Ruggiero VII, Palermo",Palermo,37978797334
Palermo - via Roma,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,280,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (280),CC BY SA 4.0,"Palermo, via Roma, corso Vittorio Emanuele",Palermo,37979009134
Palermo - Piazza Santa Oliva e Politeama,"Verderosa, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,221,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (221),CC BY SA 4.0,"Piazza Santa Oliva, Politeama, Palermo",Palermo,37979027914
Palermo - Piazza Castelnuovo,"G. Lo Cascio e Schiavo, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,222,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (222),CC BY SA 4.0,"Piazza Castelnuovo, Palermo",Palermo,37979353914
Palermo Nuova - via Roma e chiosco due Paleme,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,287,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (287),CC BY SA 4.0,"Palermo, via Roma, piazzetta due Paleme",Palermo,37979675644
Palermo - La Cala,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,8,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (8),CC BY SA 4.0,"Cala, porto,  Palermo",Palermo,37982458196
Cala - al tramonto,"Stengel &amp; Co, Dresda","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,12,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (12),CC BY SA 4.0,"La Cala,  porto, porta Carbone, Palermo",Palermo,37982868266
Palermo - Cala,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,13,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (13),CC BY SA 4.0,"La Cala, Monte Pellegrino, porto,  Palermo",Palermo,37982991976
Palermo - Piazza Ucciardone e Corso Scinà,"F. Verderosa, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,229,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (229),CC BY SA 4.0,"Piazza Ucciardone, Corso Scinà,Palermo",Palermo,37999645734
Palermo - via Cavour,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,299,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (299),CC BY SA 4.0,"Palermo, via Cavour",Palermo,38001660134
Palermo - Cala e Monte Pellegrino,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,5,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (5),CC BY SA 4.0,"Cala, Chiesa S. Maria della Catena, Castello a Mare, Palermo",Palermo,38004073212
La Cala - Tramonto invernale,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,6,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (6),CC BY SA 4.0,"Cala, Porto, Castello a Mare, Palermo",Palermo,38004520782
"Palermo – La Cala, il Castello e Monte Pellegrino",,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,15,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (15),CC BY SA 4.0,"La Cala, Monte Pellegrino, porto, Castello a Mare, Palermo",Palermo,38004869686
Palermo – Cala,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,17,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (17),CC BY SA 4.0,"La Cala, porto, porta Carbone, Pescatori, Palermo",Palermo,38005965206
Palermo - la Cala,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,21,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (21),CC BY SA 4.0,"La Cala, porto, pescatori, Palermo",Palermo,38029083302
Palermo – Cala,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,22,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (22),CC BY SA 4.0,"La Cala, porto, pescatori, Palermo",Palermo,38029160692
